Selection Method, Number of Destinations, Distance, Energy, Time
2, 5, 1742.8, 3200.98, 174.279868276902
1, 5, 2091.46, 13151.3, 209.146097861072
0, 5, 1497.81, 19111, 149.781288476551
2, 10, 2661.64, 11654.5, 266.16389043436
1, 10, 2801.77, 15672, 280.176954588107
0, 10, 1874.57, 20176.8, 187.457006534107
2, 15, 2840.43, 13076.3, 284.042648515272
1, 15, 3455.71, 15876.8, 345.571082252397
0, 15, 2006.07, 12752.7, 200.607287160566
2, 20, 4567.68, 17801, 456.767918037253
1, 20, 4896.88, 32522.9, 489.687500013122
0, 20, 2237.92, 18169.1, 223.792499289378
2, 30, 4582.04, 14733.4, 458.20440142379
0, 30, 2033.37, 13974.2, 203.3374446896
1, 30, 4780.93, 21755.4, 478.092882976859
1, 40, 6982.39, 48806.8, 698.239135643058
2, 40, 5694.1, 24807.3, 569.409595705803
0, 40, 3482.18, 34709.6, 348.217669371316
1, 50, 6646.43, 39860, 664.643218717329
2, 50, 5187.21, 26833.4, 518.720626414161
0, 50, 3718.2, 38410.2, 371.820219924882
